shape,area,String
size,"input,select",String
sizes,"img,link,source",String
span,"col,colgroup",String
spellcheck,"*",String
src,"audio,embed,iframe,img,input,script,source,track,video",String
srcdoc,iframe,String
srclang,track,String
srcset,"img,source",String
start,ol,String
step,input,String
style,"*",String
tabindex,"*",String
target,"a,area,base,form",String
title,"*",String
translate,"*",String
type,"a,button,embed,input,link,menu,object,script,source,style",String
usemap,"img,object",String
value,"button,input,li,option,meter,progress,param",String
width,"canvas,embed,iframe,img,input,object,video",String
wrap,textarea,String
